rno,Be_Effective,Immediate_Relief,Fix_Root_Cause,No_Side_Effect,Right_Price,Not_Too_Strong,Good_Brand,Easy_To_Find,Reduce_Gas,Protect_Stomach,Convenient_Dose,Long_Term_Effective,Good_Taste,Doc_Reccomend,Sustained_Relief,Flavours,Multiple_Forms,q14a1_1,edresp,occresp,medied,qlfn_2,qlfn_1,qlfn_3,cook_1,cook_2,cook_3,eatfreq,travel,daystrav,ailment1,ailment2,ailment3,ailment4,occcwe,edcwe,sec,mhi,ageresp,sexresp,edhw,workhw,lang_1,lang_2,anydr,chemist,family,expmedi,moub,cluster
95,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,6,90,3,77, , ,4, , ,8,2, ,99, , , ,54,6,A1,4,36,2,6,3,5, ,2,3,1,300,1,1
96,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,2,6,68,3,10, , ,1,4, ,7,2, ,99, , , ,65,6,B1,3, ,2,6,3,5, ,2,3,1,200,2,1
97,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,1,6,68,3,30, , ,4, , ,8,2, ,99, , , ,56,7,A1,3,48,2,6,3,5, ,1,3,1,150,12,3
98,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,6,4,68,3,97, , ,4, , ,8,2, ,2,4, , ,57,6,B1,4,39,2,4,3,5, ,2,3,1,300,10,1
99,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,3,53,3,7, , ,4, , ,8,1,1,2, , , ,50,5,C,3,68,2,3,3,5, ,2,3,1,150,12,1
100,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,2,4,68,3,1, , ,4, , ,8,2, ,99, , , ,65,6,B1,4,30,2,4,3,5, ,2,3,1,200,2,1
101,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,1,5,1,1,68,99,97, , ,4, , ,8,2, ,99, , , ,49,4,D,3,38,2,1,3,2, ,2,3,1,50,12,3
102,5,5,5,4,5,2,4,5,5,5,5,5,5,5,5,4,5,1,4,68,3,9, , ,4, , ,8,2, ,4, , , ,52,4,B2,4,33,2,4,3,5, ,2,3,3,250,1,0
103,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,2,5,1,4,67,3,1, , ,4, , ,8,2, ,4, , , ,67,4,B1,6,56,2,3,3,5, ,2,3,1,100,2,3
104,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,6,67,2,10, , ,1, , ,7,2, ,99, , , ,67,6,A1,4,38,1,3,3,5, ,1,3,1,200,13,1
105,5,5,5,5,5,4,2,4,5,3,4,5,3,2,5,1,4,1,3,68,3,8, , ,4, , ,8,2, ,4, , , ,50,3,D,4,55,2,3,3,5, ,2,3,1, ,1,0
106,5,5,5,5,5,5,5,5,5,4,4,4,2,3,5,4,4,1,6,56,3,10, , ,4, , ,8,2, ,99, , , ,56,6,A2,4,46,1,5,3,5, ,2,3,1, ,6,1
107,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,65,2,30, , ,4, , ,3,2, ,99, , , ,65,5,B2,3,40,1,2,3,5, ,2,3,3,200, ,1
108,5,5,5,5,4,5,4,5,4,5,4,5,5,5,5,5,2,2,6,68,3,30, , ,4, , ,8,2, ,4, , , ,67,6,A1,4,32,2,6,3,5, ,2,3,2,200,6,1
109,5,5,5,5,5,5,5,5,5,5,4,5,5,3,5,5,5,1,3,69,3,45, , ,4, , ,8,2, ,99, , , ,51,1,E2,3, ,2,1,3,5, ,2,3,1,50,1,1
110,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,2,3,1,1,68,99,97, , ,4, , ,8,2, ,2, , , ,51,2,D,3,50,2,1,2,5, ,2,3,1,25,1,3
111,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,2,5,1,4,52,7,1, , ,1, , ,7,2, ,99, , , ,52,4,B2,4,50,1,6,3,4, ,2,3,1,25,3,3
112,4,5,5,5,5,5,4,5,5,5,5,5,5,3,5,5,5,11,3,49,3,1, , ,1, , ,8,2, ,99, , , ,51,1,E2,4,20,1,1,3,5,10,2,3,1,100,12,1
113,5,5,5,4,5,4,2,5,5,3,5,5,4,4,5,3,4,2,3,68,3,45, , ,4, , ,8,2, ,4, , , ,57,4,C,4,60,2,3,3,5, ,2,3,2, ,2,0
