id,month,gender,age_band,Income,Checking_account,Churn,censor
554,23,F,50-54,H,N,0,1
555,40,F,25-29,I,Y,0,1
556,19,M,21-24,F,Y,0,1
557,33,M,25-29,F,Y,1,0
558,26,F,50-54,I,N,0,1
559,27,F,60-64,F,Y,0,1
560,34,M,40-44,H,Y,0,1
561,8,M,00-20,U,Y,0,1
562,25,M,60-64,F,Y,0,1
563,3,F,55-59,H,Y,0,1
564,3,F,60-64,F,Y,0,1
565,49,F,60-64,I,N,0,1
566,54,F,30-34,A,Y,0,1
567,7,M,25-29,H,Y,0,1
568,27,M,00-20,H,Y,1,0
569,48,M,25-29,H,Y,0,1
570,29,M,25-29,A,Y,0,1
571,24,F,65+,U,Y,1,0
572,4,M,50-54,G,N,0,1
573,18,M,55-59,H,Y,0,1
574,41,M,40-44,F,N,0,1
575,30,M,60-64,I,Y,0,1
576,3,M,50-54,F,N,0,1
577,5,M,55-59,I,N,1,0
578,6,F,60-64,G,Y,0,1
579,53,M,40-44,F,Y,0,1
580,24,F,55-59,I,Y,0,1
581,4,F,45-49,F,N,0,1
582,18,M,55-59,I,N,0,1
583,20,M,55-59,H,N,0,1
584,9,M,21-24,U,Y,0,1
585,22,F,25-29,E,Y,0,1
586,32,F,60-64,F,Y,0,1
587,6,F,60-64,C,N,0,1
588,29,F,30-34,G,Y,0,1
589,35,M,60-64,U,Y,0,1
590,9,F,25-29,U,Y,0,1
591,24,F,25-29,I,Y,0,1
592,23,F,45-49,U,Y,0,1
593,60,M,60-64,F,Y,1,0
594,3,M,60-64,I,Y,0,1
595,3,M,55-59,U,N,0,1
596,2,F,21-24,U,Y,0,1
597,12,F,45-49,U,N,0,1
598,26,F,25-29,G,Y,0,1
599,39,M,25-29,I,Y,0,1
600,27,M,45-49,D,Y,0,1
601,31,M,21-24,U,Y,0,1
602,35,F,25-29,G,Y,0,1
603,40,F,40-44,G,Y,0,1
604,33,M,50-54,G,N,0,1
605,25,M,60-64,G,N,0,1
606,10,M,25-29,B,Y,0,1
607,16,F,60-64,D,N,0,1
608,5,F,30-34,U,Y,0,1
609,5,F,60-64,F,N,0,1
610,30,M,60-64,H,N,1,0
611,20,M,60-64,H,N,0,1
612,15,F,65+,D,Y,0,1
613,27,F,50-54,G,Y,0,1
614,25,M,65+,U,Y,1,0
615,9,F,21-24,I,Y,0,1
616,27,F,60-64,U,N,0,1
617,41,M,21-24,I,Y,0,1
618,35,F,45-49,I,N,0,1
619,23,M,21-24,E,Y,0,1
620,50,M,40-44,I,Y,0,1
621,41,F,60-64,I,N,0,1
622,27,F,35-39,G,Y,0,1
623,60,M,55-59,H,Y,1,0
624,44,F,60-64,B,Y,0,1
625,15,M,21-24,U,Y,0,1
626,8,M,45-49,I,N,0,1
627,13,M,30-34,F,N,0,1
628,19,F,65+,H,Y,0,1
629,2,F,60-64,H,Y,0,1
630,21,F,55-59,H,Y,0,1
631,57,M,50-54,G,Y,0,1
632,47,M,50-54,A,Y,0,1
633,8,M,21-24,I,Y,0,1
634,19,F,25-29,H,Y,0,1
635,54,M,65+,H,Y,0,1
636,51,F,45-49,A,Y,0,1
637,20,M,40-44,U,Y,0,1
638,38,F,60-64,F,Y,0,1
639,1,M,55-59,U,N,0,1
640,18,F,30-34,G,Y,0,1
641,1,M,60-64,U,N,0,1
642,6,M,45-49,I,Y,0,1
643,40,F,50-54,F,Y,0,1
644,43,M,60-64,I,Y,0,1
645,51,F,30-34,C,Y,0,1
646,2,F,55-59,G,N,0,1
647,4,M,25-29,D,Y,0,1
648,36,M,60-64,U,Y,0,1
649,26,F,65+,U,N,0,1
650,31,M,30-34,G,Y,0,1
651,39,F,40-44,H,Y,0,1
652,33,F,60-64,B,Y,0,1
653,24,M,40-44,F,Y,0,1
654,24,M,60-64,G,Y,0,1
655,16,F,55-59,F,Y,0,1
656,1,M,21-24,H,Y,0,1
657,7,F,50-54,E,N,0,1
658,2,F,65+,B,Y,0,1
659,17,M,55-59,U,Y,0,1
660,10,F,21-24,U,N,0,1
661,20,F,55-59,U,Y,1,0
662,13,F,65+,U,Y,1,0
663,9,F,40-44,F,Y,0,1
664,35,M,35-39,H,Y,0,1
665,54,F,45-49,I,Y,0,1
666,7,M,40-44,U,Y,0,1
667,53,F,55-59,I,Y,0,1
668,31,M,55-59,A,Y,0,1
669,29,F,60-64,I,Y,0,1
670,9,M,25-29,U,Y,0,1
671,23,M,50-54,C,Y,0,1
672,31,M,60-64,I,Y,0,1
673,48,M,50-54,D,N,0,1
674,24,F,50-54,U,N,0,1
675,52,F,45-49,F,Y,0,1
676,34,M,60-64,I,Y,0,1
677,16,M,50-54,I,Y,0,1
678,25,F,25-29,F,Y,0,1
679,29,F,35-39,G,Y,1,0
680,18,F,60-64,E,Y,0,1
681,30,F,40-44,D,N,0,1
682,22,M,40-44,E,Y,0,1
683,43,M,35-39,I,Y,0,1
684,17,F,25-29,B,Y,0,1
685,20,F,25-29,E,Y,0,1
686,12,M,25-29,F,Y,0,1
687,28,F,40-44,U,Y,0,1
688,35,M,50-54,F,N,0,1
689,14,M,45-49,F,Y,0,1
690,20,M,25-29,F,Y,0,1
691,12,M,25-29,I,Y,0,1
692,43,M,55-59,E,Y,0,1
693,35,M,45-49,U,Y,0,1
694,27,F,55-59,B,Y,0,1
695,6,F,60-64,F,N,0,1
696,56,M,45-49,I,Y,0,1
697,13,M,60-64,G,N,0,1
698,10,M,60-64,H,Y,0,1
699,21,F,60-64,D,Y,0,1
700,15,M,60-64,I,N,0,1
701,28,F,50-54,B,N,0,1
702,29,F,40-44,I,Y,0,1
703,40,F,35-39,U,Y,0,1
704,21,M,60-64,D,N,0,1
705,50,M,45-49,I,Y,0,1
706,14,F,60-64,U,Y,0,1
707,3,M,25-29,I,Y,0,1
708,24,M,50-54,G,Y,0,1
709,40,M,55-59,F,Y,0,1
710,30,F,30-34,U,Y,0,1
711,1,M,21-24,G,Y,0,1
712,22,F,25-29,C,N,0,1
713,50,M,65+,I,Y,0,1
714,4,F,50-54,E,N,0,1
715,28,M,45-49,I,N,0,1
716,19,M,40-44,F,N,0,1
717,38,F,21-24,U,Y,0,1
718,33,M,40-44,G,Y,0,1
719,48,M,45-49,I,Y,0,1
720,1,M,00-20,H,N,0,1
721,26,F,40-44,I,Y,0,1
722,19,M,25-29,H,Y,0,1
723,21,F,35-39,F,Y,0,1
724,26,M,65+,U,Y,0,1
725,34,F,60-64,G,Y,0,1
726,36,F,60-64,F,Y,0,1
727,22,M,35-39,F,Y,0,1
728,24,F,25-29,H,Y,0,1
729,48,F,35-39,U,Y,0,1
730,25,M,21-24,U,Y,0,1
731,45,F,55-59,G,Y,0,1
732,46,F,25-29,D,Y,0,1
733,32,M,25-29,A,Y,0,1
734,7,F,55-59,F,N,0,1
735,20,M,40-44,H,Y,0,1
736,20,M,45-49,I,N,0,1
737,3,M,50-54,B,Y,0,1
